NAMESPACE       NAME                                                 TYPE        CLUSTER-IP       EXTERNAL-IP   PORT(S)                        AGE
default         kubernetes                                           ClusterIP   10.96.0.1        <none>        443/TCP                        40d
demo            demo-nginx                                           NodePort    10.102.245.179   <none>        80:30916/TCP                   39d
falco           falco-falcosidekick                                  ClusterIP   10.103.175.45    <none>        2801/TCP,2810/TCP              16d
ingress-nginx   ingress-nginx-controller                             NodePort    10.104.0.67      <none>        80:31339/TCP,443:30765/TCP     39d
ingress-nginx   ingress-nginx-controller-admission                   ClusterIP   10.109.190.36    <none>        443/TCP                        39d
kube-system     kube-dns                                             ClusterIP   10.96.0.10       <none>        53/UDP,53/TCP,9153/TCP         40d
kube-system     metrics-server                                       ClusterIP   10.105.116.174   <none>        443/TCP                        40d
kube-system     monitoring-kube-prometheus-coredns                   ClusterIP   None             <none>        9153/TCP                       40d
kube-system     monitoring-kube-prometheus-kube-controller-manager   ClusterIP   None             <none>        10257/TCP                      40d
kube-system     monitoring-kube-prometheus-kube-etcd                 ClusterIP   None             <none>        2381/TCP                       40d
kube-system     monitoring-kube-prometheus-kube-proxy                ClusterIP   None             <none>        10249/TCP                      40d
kube-system     monitoring-kube-prometheus-kube-scheduler            ClusterIP   None             <none>        10259/TCP                      40d
kube-system     monitoring-kube-prometheus-kubelet                   ClusterIP   None             <none>        10250/TCP,4194/TCP,10255/TCP   40d
kube-system     prometheus-kube-prometheus-kubelet                   ClusterIP   None             <none>        10250/TCP,4194/TCP,10255/TCP   39d
kyverno         kyverno-background-controller-metrics                ClusterIP   10.105.210.243   <none>        8000/TCP                       26d
kyverno         kyverno-cleanup-controller                           ClusterIP   10.96.24.224     <none>        443/TCP                        26d
kyverno         kyverno-cleanup-controller-metrics                   ClusterIP   10.108.73.71     <none>        8000/TCP                       26d
kyverno         kyverno-reports-controller-metrics                   ClusterIP   10.104.170.59    <none>        8000/TCP                       26d
kyverno         kyverno-svc                                          ClusterIP   10.96.108.27     <none>        443/TCP                        26d
kyverno         kyverno-svc-metrics                                  ClusterIP   10.101.245.15    <none>        8000/TCP                       26d
monitoring      alertmanager-operated                                ClusterIP   None             <none>        9093/TCP,9094/TCP,9094/UDP     40d
monitoring      monitoring-grafana                                   NodePort    10.99.25.183     <none>        80:30080/TCP                   40d
monitoring      monitoring-kube-prometheus-alertmanager              ClusterIP   10.104.75.108    <none>        9093/TCP,8080/TCP              40d
monitoring      monitoring-kube-prometheus-operator                  ClusterIP   10.111.247.229   <none>        443/TCP                        40d
monitoring      monitoring-kube-prometheus-prometheus                ClusterIP   10.111.124.76    <none>        9090/TCP,8080/TCP              40d
monitoring      monitoring-kube-state-metrics                        ClusterIP   10.97.186.106    <none>        8080/TCP                       40d
monitoring      monitoring-prometheus-node-exporter                  ClusterIP   10.105.98.129    <none>        9100/TCP                       40d
monitoring      prometheus-operated                                  ClusterIP   None             <none>        9090/TCP                       40d
vault           vault                                                ClusterIP   10.109.130.37    <none>        8200/TCP,8201/TCP              3d18h
vault           vault-agent-injector-svc                             ClusterIP   10.110.2.201     <none>        443/TCP                        3d18h
vault           vault-internal                                       ClusterIP   None             <none>        8200/TCP,8201/TCP              3d18h
vault           vault-ui                                             NodePort    10.110.61.101    <none>        8200:31323/TCP                 3d18h
