NAMESPACE    NAME                                                              AGE
monitoring   host-down-alerts                                                  13d
monitoring   monitoring-kube-prometheus-alertmanager.rules                     40d
monitoring   monitoring-kube-prometheus-config-reloaders                       40d
monitoring   monitoring-kube-prometheus-etcd                                   40d
monitoring   monitoring-kube-prometheus-general.rules                          40d
monitoring   monitoring-kube-prometheus-k8s.rules.container-cpu-usage-second   40d
monitoring   monitoring-kube-prometheus-k8s.rules.container-memory-cache       40d
monitoring   monitoring-kube-prometheus-k8s.rules.container-memory-rss         40d
monitoring   monitoring-kube-prometheus-k8s.rules.container-memory-swap        40d
monitoring   monitoring-kube-prometheus-k8s.rules.container-memory-working-s   40d
monitoring   monitoring-kube-prometheus-k8s.rules.container-resource           40d
monitoring   monitoring-kube-prometheus-k8s.rules.pod-owner                    40d
monitoring   monitoring-kube-prometheus-kube-apiserver-availability.rules      40d
monitoring   monitoring-kube-prometheus-kube-apiserver-burnrate.rules          40d
monitoring   monitoring-kube-prometheus-kube-apiserver-histogram.rules         40d
monitoring   monitoring-kube-prometheus-kube-apiserver-slos                    40d
monitoring   monitoring-kube-prometheus-kube-prometheus-general.rules          40d
monitoring   monitoring-kube-prometheus-kube-prometheus-node-recording.rules   40d
monitoring   monitoring-kube-prometheus-kube-scheduler.rules                   40d
monitoring   monitoring-kube-prometheus-kube-state-metrics                     40d
monitoring   monitoring-kube-prometheus-kubelet.rules                          40d
monitoring   monitoring-kube-prometheus-kubernetes-apps                        40d
monitoring   monitoring-kube-prometheus-kubernetes-resources                   40d
monitoring   monitoring-kube-prometheus-kubernetes-storage                     40d
monitoring   monitoring-kube-prometheus-kubernetes-system                      40d
monitoring   monitoring-kube-prometheus-kubernetes-system-apiserver            40d
monitoring   monitoring-kube-prometheus-kubernetes-system-controller-manager   40d
monitoring   monitoring-kube-prometheus-kubernetes-system-kube-proxy           40d
monitoring   monitoring-kube-prometheus-kubernetes-system-kubelet              40d
monitoring   monitoring-kube-prometheus-kubernetes-system-scheduler            40d
monitoring   monitoring-kube-prometheus-node-exporter                          40d
monitoring   monitoring-kube-prometheus-node-exporter.rules                    40d
monitoring   monitoring-kube-prometheus-node-network                           40d
monitoring   monitoring-kube-prometheus-node.rules                             40d
monitoring   monitoring-kube-prometheus-prometheus                             40d
monitoring   monitoring-kube-prometheus-prometheus-operator                    40d
